name,image_url,description,cuisine,course,calories & servings,diet,prep_time,cook_time,ingredients,instruction,image_id
Roasted Makhana,https://www.shutterstock.com/image-photo/roasted-phool-makhana-crispy-masala-260nw-2067202442.jpg,"Roasted makhana is a simple and healthy snack made with fox nuts (makhana) dry roasted until crisp, then tossed in warm spices for a flavorful crunch.",Indian,Snack,100 & 4,Veg,5 minutes,10 minutes,"2 cups makhana (fox nuts) , 1 tablespoon ghee (clarified butter) or olive oil , Salt to taste , 1/2 teaspoon black pepper powder (optional) , 1/2 teaspoon chaat masala (optional)","Heat a non-stick pan over medium heat. Add ghee or olive oil to the pan. Once the ghee/oil is hot, add the makhana to the pan. Roast the makhana on low to medium heat, stirring continuously to prevent burning, for about 8-10 minutes or until they become crisp. Sprinkle salt, black pepper powder, and chaat masala over the roasted makhana. Mix well. Remove the roasted makhana from the pan and let them cool completely. Once cooled, store the roasted makhana in an airtight container.",179
Methi Puri,https://www.shutterstock.com/image-photo/namkeen-kasuri-methi-masala-mathri-260nw-2269061467.jpg,"Methi puri is a crispy fried flatbread flavored with fragrant fenugreek leaves. Imagine a savory and puffy poori that gets its unique taste from these delightful herbs.",Indian,Main Course,150 & 4,Veg,15 minutes,20 minutes,"2 cups whole wheat flour , 1 cup fresh fenugreek leaves (finely chopped) , 1 teaspoon cumin seeds , 1 teaspoon turmeric powder , 1 teaspoon red chili powder , Salt to taste , Water (as needed for kneading) , Oil for deep frying","In a large mixing bowl, combine whole wheat flour, chopped fenugreek leaves, cumin seeds, turmeric powder, red chili powder, and salt. Gradually add water and knead the mixture to form a smooth and firm dough. Divide the dough into small lemon-sized balls and roll them out into small puris using a rolling pin. Heat oil in a deep frying pan over medium heat. Once the oil is hot, carefully slide in the rolled puris and fry them until they puff up and turn golden brown on both sides. Remove the puris using a slotted spoon and drain excess oil on paper towels. Serve hot Methi Puris with your favorite curry or chutney.",180
Gond Ke Laddu,https://www.shutterstock.com/image-photo/sweet-dink-laddu-known-dinkache-260nw-1600091485.jpg,"Gond Ke Laddu are energy balls packed with goodness! Made with roasted nuts, fragrant coconut, and edible gum (gond), they're bound with melted jaggery or sugar for a sweet and nutritious treat.",Indian,Dessert,150 & 15,Veg,15 minutes,20 minutes,"1 cup wheat flour , 1/2 cup edible gum (gond) , 1/2 cup ghee (clarified butter) , 1/2 cup almonds, chopped , 1/2 cup cashews, chopped , 1/2 cup raisins , 1 cup powdered sugar , 1 teaspoon cardamom powder , Saffron strands (optional)","Heat ghee in a pan and fry the edible gum (gond) until it puffs up. Remove from the pan and keep aside. In the same pan, roast the wheat flour until it turns golden brown and aromatic. Remove from heat and let it cool. In a separate pan, lightly roast the chopped almonds, cashews, and raisins. Remove and keep aside. Crush the fried edible gum into small pieces using a mortar and pestle. In a large mixing bowl, combine the roasted wheat flour, powdered sugar, crushed edible gum, roasted nuts, raisins, cardamom powder, and saffron strands (if using). Mix well until all the ingredients are evenly combined. Take small portions of the mixture and shape them into laddus (round balls) while the mixture is still warm. Allow the laddus to cool completely before serving.",181
Shimla Mirch Ki Sabji,https://www.shutterstock.com/image-photo/indian-phool-gobi-shimla-mirch-260nw-2443419187.jpg,"Shimla Mirch Ki Sabzi is a vibrant stir-fry made with colorful bell peppers (Shimla Mirch) simmered in a fragrant blend of warming spices, onions, tomatoes, and fresh ginger-garlic. This simple dish pairs perfectly with rotis or rice for a delightful vegetarian meal.",Indian,Main Course,120 & 4,Veg,10 minutes,20 minutes,"4 medium-sized green bell peppers (Shimla mirch) , 2 medium-sized onions, finely chopped , 2 tomatoes, finely chopped , 2 green chilies, chopped , 1 teaspoon ginger-garlic paste , 1 teaspoon cumin seeds , 1 teaspoon turmeric powder , 1 teaspoon coriander powder , 1/2 teaspoon red chili powder (adjust to taste) , 1/2 teaspoon garam masala , Salt to taste , 2 tablespoons cooking oil , Fresh coriander leaves for garnish","Wash and chop the green bell peppers into medium-sized pieces. Remove seeds if preferred. Heat oil in a pan over medium heat. Add cumin seeds and let them splutter. Add chopped onions and sauté until they turn translucent. Add ginger-garlic paste and chopped green chilies. Sauté for a minute. Add chopped tomatoes and cook until they turn soft and mushy. Add turmeric powder, coriander powder, red chili powder, and salt. Mix well. Add chopped bell peppers and stir to combine with the spices. Cover and cook the bell peppers until they are tender, stirring occasionally. Once the bell peppers are cooked, sprinkle garam masala and mix gently. Garnish with freshly chopped coriander leaves. Serve hot with roti or rice.",182
Aloo Bhindi,https://www.shutterstock.com/image-photo/bhindi-masala-ladies-finger-fry-600nw-2148588109.jpg,"Aloo Bhindi is a classic Indian dish that combines tender potatoes (aloo) and okra (bhindi) in a flavorful, spiced mix. This dry curry (sabzi) can be made simply with onions, chilies, and basic spices, or with a richer base of tomatoes and ginger-garlic paste. The okra adds a slight crunch, while the potatoes become soft and absorb the delicious masala. It's a vegetarian side dish perfect for any occasion.",Indian,Main Course,180 & 4,Veg,15 minutes,25 minutes,"250g okra (bhindi), washed and chopped , 2 medium-sized potatoes (aloo), peeled and diced , 1 onion, finely chopped , 2 tomatoes, finely chopped , 2-3 green chilies, slit lengthwise , 1 teaspoon cumin seeds , 1 teaspoon turmeric powder , 1 teaspoon coriander powder , 1/2 teaspoon red chili powder (adjust to taste) , Salt to taste , 2 tablespoons oil , Fresh coriander leaves for garnish","Heat oil in a pan over medium heat. Add cumin seeds and let them splutter. Add chopped onions and sauté until they turn golden brown. Add diced potatoes to the pan and fry until they start to turn golden brown. Now, add chopped tomatoes, green chilies, turmeric powder, coriander powder, red chili powder, and salt. Mix well and cook until tomatoes are soft and oil separates from the masala. Add chopped okra to the pan and mix gently with the masala. Cover the pan with a lid and cook on low heat for about 10-15 minutes or until the okra is cooked through and tender, stirring occasionally. Once the okra and potatoes are cooked, garnish with fresh coriander leaves. Serve hot with roti or rice.",183
Punjabi Wadi,https://www.shutterstock.com/shutterstock/photos/1782726167/display_1500/stock-photo-aluwadi-paatra-maharashtrian-and-gujrati-snack-recipe-made-using-colocasia-leaves-1782726167.jpg,"Punjabi Wadi is a flavorful and versatile lentil-based dish from Punjab, India. Made with ground urad dal (black gram) and aromatic spices, these sun-dried dumplings add a unique savory twist to various recipes. Enjoy them fried in curries, crumbled in stir-fries, or simply savor them as a protein-rich snack.",Indian,Main Course,250 & 4,Veg,15 minutes,25 minutes,"1 cup Punjabi wadi (sun-dried lentil dumplings) , 2 tablespoons oil , 1 onion, finely chopped , 2 tomatoes, pureed , 1 teaspoon ginger-garlic paste , 1 teaspoon cumin seeds , 1 teaspoon coriander powder , 1/2 teaspoon turmeric powder , 1/2 teaspoon red chili powder (adjust to taste) , Salt to taste , Fresh coriander leaves for garnish","Heat oil in a pan and add cumin seeds. Let them splutter. Add chopped onions and sauté until they turn golden brown. Add ginger-garlic paste and sauté for another minute. Stir in the tomato puree and cook until oil separates from the masala. Add coriander powder, turmeric powder, red chili powder, and salt. Mix well. Crumble the Punjabi wadi and add it to the pan. Mix with the masala. Cook for 5-7 minutes, stirring occasionally, until the wadi is well-coated with the masala. Garnish with fresh coriander leaves. Serve hot with roti or rice.",184
Tomato Pulao,https://media.istockphoto.com/id/1146289003/photo/traditional-indian-street-food-rice-with-vegetables-close-up-on-a-plate-horizontal.jpg?s=170667a&w=is&k=20&c=Fsf_b9GAFNNuaRXbasuMGt3ziMBfIRzb-WW6nwlIsuQ=,"Tomato Pulao is a flavorful one-pot rice dish featuring tangy tomatoes as the star ingredient. This vegetarian dish combines fluffy rice with aromatic spices, often including cumin, coriander, and turmeric, for a satisfying and colorful meal.",Indian,Main Course,250 & 4,Veg,10 minutes,20 minutes,"1 cup basmati rice , 2 tomatoes, finely chopped , 1 onion, thinly sliced , 2 green chilies, slit lengthwise , 1-inch ginger, finely chopped , 2 cloves garlic, minced , 1 teaspoon cumin seeds , 1 teaspoon turmeric powder , 1 teaspoon red chili powder , 1 teaspoon garam masala , 2 tablespoons oil , Salt to taste , 2 cups water , Fresh coriander leaves for garnish","Rinse the basmati rice under cold water until the water runs clear. Soak the rice in water for 30 minutes, then drain and set aside. Heat oil in a pan over medium heat. Add the cumin seeds and let them splutter. Add the sliced onions and sauté until they turn golden brown. Add the chopped tomatoes, green chilies, ginger, and garlic. Cook until the tomatoes are soft and mushy. Add the turmeric powder, red chili powder, garam masala, and salt. Mix well and cook for another 2 minutes. Add the soaked basmati rice to the pan and sauté for 2 minutes, ensuring the rice is well coated with the tomato mixture. Pour in the water and stir gently. Bring the mixture to a boil. Once boiling, reduce the heat to low, cover the pan, and let the rice cook for 15-20 minutes or until the rice is tender and all the water is absorbed. Once done, remove the pan from heat and let it sit covered for another 5 minutes. Fluff the rice with a fork, garnish with fresh coriander leaves, and serve hot.",185
Dry Jamun,https://www.shutterstock.com/image-photo/gulab-jamuns-indian-dessert-topped-600nw-295395848.jpg,"Dry Jamun is a delightful Indian dessert with a unique twist. Imagine soft, fried dough balls flavored with cardamom and saffron, then coated in a light sugar syrup instead of being soaked in it. These sweet treats offer a delightful textural contrast - crisp on the outside, melt-in-your-mouth soft on the inside - with a burst of fragrant sweetness.",Indian,Dessert,100 & 15,Veg,15 minutes,20 minutes,"1 cup milk powder , 1/4 cup all-purpose flour , 1/4 teaspoon baking powder , 2 tablespoons ghee (clarified butter) , 1/4 cup milk (adjust quantity as needed) , 1/2 cup powdered sugar , 1/2 teaspoon cardamom powder , Sliced almonds or pistachios for garnish (optional)","In a mixing bowl, combine milk powder, all-purpose flour, and baking powder. Heat ghee in a pan and add it to the dry mixture. Mix well. Slowly add milk and knead the mixture into a smooth dough. Add more milk if needed to achieve the right consistency. Divide the dough into small equal-sized balls and roll them between your palms to make smooth balls. Heat ghee in a frying pan over low-medium heat. Fry the dough balls until golden brown, turning occasionally to ensure even cooking. Once fried, remove the balls from the ghee and let them cool for a few minutes. In another pan, heat powdered sugar with a little water to make a thick syrup. Add cardamom powder to the syrup. Dip the fried dough balls into the sugar syrup, ensuring they are well-coated. Garnish with sliced almonds or pistachios if desired. Let the Dry Jamuns cool completely before serving.",186
Dahi Bhalla,https://www.shutterstock.com/image-photo/dahi-vada-bhalla-type-chaat-600nw-1934860373.jpg,"Dahi Bhalla is a delightful Indian street food combining fluffy lentil fritters (bhalla) drenched in creamy yogurt (dahi). The dish is a symphony of textures with contrasting soft vadas and cool yogurt, perked up by tangy and spicy chutneys.",Indian,Snack,250 & 4,Veg,20 minutes,20 minutes,"1 cup urad dal (black gram lentils), soaked overnight , 1 cup moong dal (split mung beans), soaked overnight , 2 cups thick yogurt (curd) , 1 tsp cumin powder , 1 tsp chaat masala , 1 tsp red chili powder , Salt to taste , Tamarind chutney and mint chutney for serving , Fresh coriander leaves for garnish , Oil for deep frying","Drain the soaked lentils and grind them to a smooth paste using a little water if needed. The consistency should be thick yet pourable. Heat oil in a deep frying pan. Take small portions of the lentil batter and drop them into the hot oil using a spoon. Fry the vadas (balls) until they turn golden brown and crispy. Remove them from the oil and drain excess oil on paper towels. Soak the fried vadas in lukewarm water for about 10-15 minutes until they become soft. Beat the yogurt until smooth and add salt to taste. Squeeze out the excess water from the soaked vadas and arrange them on a serving plate. Pour the beaten yogurt over the vadas generously. Sprinkle cumin powder, chaat masala, and red chili powder over the yogurt. Drizzle tamarind chutney and mint chutney over the yogurt. Garnish with fresh coriander leaves. Serve chilled and enjoy!",187
Chana Pulao,https://www.shutterstock.com/image-photo/tasty-spicy-chana-pulao-pulav-600nw-1899309709.jpg,"Chana Pulao is a flavorful one-pot rice dish featuring fluffy basmati rice cooked with savory chickpeas, aromatic spices, and sometimes vegetables. The chickpeas add a delightful protein boost, while the spices create a warm and inviting aroma.",Indian,Main Course,300 & 4,Veg,30 minutes,25 minutes,"1 cup basmati rice, soaked for 30 minutes , 1 cup cooked chickpeas (canned or boiled) , 1 onion, finely chopped , 1 tomato, chopped , 2 green chilies, slit , 1-inch ginger, minced , 2 cloves garlic, minced , 1 teaspoon cumin seeds , 1 cinnamon stick , 2-3 green cardamom pods , 4-5 whole cloves , 1 bay leaf , 1/2 teaspoon turmeric powder , 1 teaspoon garam masala , Salt to taste , 2 tablespoons oil or ghee , Fresh coriander leaves for garnish","Heat oil or ghee in a large pan or pressure cooker over medium heat. Add cumin seeds, cinnamon stick, cardamom pods, cloves, and bay leaf. Saute for a minute until fragrant. Add chopped onions and saute until they turn golden brown. Add minced ginger and garlic, slit green chilies, and chopped tomatoes. Cook until tomatoes are soft and oil starts to separate. Add turmeric powder and garam masala. Mix well. Drain the soaked rice and add it to the pan along with cooked chickpeas. Stir gently to combine. Add 2 cups of water and salt to taste. Stir, cover, and cook until rice is tender and water is absorbed. If using a pressure cooker, cook for 2 whistles. Once done, fluff the pulao gently with a fork. Garnish with fresh coriander leaves. Serve hot with yogurt or raita.",188
Easy Aloo Ki Sabji,https://www.shutterstock.com/image-photo/aloo-mutter-matar-aalu-dry-600nw-1899776431.jpg,"Comforting Potato Curry: Tender potatoes cooked with aromatic spices like cumin and turmeric, for a simple and flavorful side dish.",Indian,Main Course,150 & 4,Veg,10 minutes,20 minutes,"4 medium-sized potatoes, peeled and diced , 2 tablespoons oil , 1 teaspoon cumin seeds , 1 teaspoon turmeric powder , 1 teaspoon coriander powder , 1 teaspoon red chili powder (adjust according to taste) , Salt to taste , Chopped cilantro leaves for garnish","Heat oil in a pan over medium heat. Add cumin seeds and let them splutter. Add diced potatoes to the pan and stir well. Cook the potatoes for about 5 minutes, stirring occasionally, until they start to turn golden brown. Add turmeric powder, coriander powder, red chili powder, and salt to the pan. Mix well to coat the potatoes evenly with the spices. Reduce the heat to low, cover the pan, and let the potatoes cook for about 10-15 minutes, or until they are tender, stirring occasionally. Once the potatoes are cooked through, remove the lid and cook for another 2-3 minutes to crisp up the edges, if desired. Garnish with chopped cilantro leaves before serving. Serve hot with roti or rice.",189
Tandoori Roti,https://www.shutterstock.com/image-photo/homemade-roti-chapati-flatbread-on-260nw-1902815578.jpg,"Tandoori roti is a classic Indian flatbread made with whole wheat flour. Unlike regular roti, it gets its signature touch by being cooked in a tandoor (clay oven), resulting in a slightly puffed and smoky flavor. You can recreate this taste at home using a pan or skillet.",Indian,Main Course,100 & 4,Veg,10 minutes,5 minutes,"2 cups whole wheat flour , 1 teaspoon salt , Water (as needed for kneading) , Ghee or butter (for brushing)","In a large mixing bowl, combine the whole wheat flour and salt. Gradually add water and knead the dough until it's smooth and elastic. The dough should be soft but not sticky. Divide the dough into equal-sized balls and roll them into smooth balls. Preheat a tandoor oven or a grill to high heat. If using a grill, make sure it's well heated. Roll out each dough ball into a thin circle, about 6-8 inches in diameter. Carefully place the rolled-out dough onto the hot tandoor oven or grill. Cook for about 2-3 minutes on each side, or until the roti puffs up and gets golden brown spots. Once cooked, remove the roti from the tandoor oven or grill and brush with ghee or butter for extra flavor. Serve hot with your favorite curry or yogurt.",190
Aloo Gajar Matar,https://www.shutterstock.com/shutterstock/photos/2095156876/display_1500/stock-photo-aloo-mutter-is-a-punjabi-dish-from-the-indian-subcontinent-which-is-made-from-potatoes-and-peas-in-2095156876.jpg,"Aloo Gajar Matar is a classic Indian comfort dish featuring a trio of wholesome vegetables: potatoes (aloo), carrots (gajar), and green peas (matar). Fragrant spices and aromatics simmer the vegetables together creating a flavorful and colorful curry.",Indian,Main Course,180 & 4,Veg,15 minutes,20 minutes,"2 medium potatoes, peeled and diced , 2 medium carrots, peeled and diced , 1 cup green peas (fresh or frozen) , 1 onion, finely chopped , 2 tomatoes, finely chopped , 2 cloves garlic, minced , 1-inch piece of ginger, grated , 2 green chilies, finely chopped (optional) , 1 teaspoon cumin seeds , 1 teaspoon turmeric powder , 1 teaspoon coriander powder , 1/2 teaspoon red chili powder (adjust to taste) , 1/2 teaspoon garam masala , Salt to taste , 2 tablespoons oil , Fresh cilantro leaves for garnish","Heat oil in a pan over medium heat. Add cumin seeds and let them splutter. Add chopped onions and sauté until golden brown. Add minced garlic, grated ginger, and chopped green chilies (if using). Sauté for another minute. Add chopped tomatoes and cook until they turn soft and mushy. Add turmeric powder, coriander powder, red chili powder, and salt. Mix well and cook for 2-3 minutes. Add diced potatoes, carrots, and green peas. Stir to coat the vegetables with the spices. Pour in 1 cup of water and mix well. Cover the pan and let the vegetables cook until tender, stirring occasionally. This will take about 15-20 minutes. Once the vegetables are cooked and the curry reaches your desired consistency, sprinkle garam masala and mix well. Garnish with fresh cilantro leaves. Serve hot with rice or chapati.",191
Palak Mushroom,https://www.shutterstock.com/image-photo/palak-paneer-curry-made-spinach-260nw-620862155.jpg,"Palak Mushroom is a flavorful Indian curry that combines earthy mushrooms with a creamy spinach gravy. The spinach is pureed into a vibrant green sauce, often spiced with aromatics like ginger, garlic, and warm Indian spices. This vegetarian dish is a delightful blend of textures and tastes.",Indian,Main Course,120 & 4,Veg,15 minutes,20 minutes,"250 grams mushrooms, sliced , 200 grams spinach (palak), finely chopped , 1 onion, finely chopped , 2 tomatoes, finely chopped , 2 green chilies, finely chopped , 1 teaspoon ginger-garlic paste , 1 teaspoon cumin seeds , 1 teaspoon garam masala , 1/2 teaspoon turmeric powder , 1/2 teaspoon red chili powder , Salt to taste , 2 tablespoons oil","Heat oil in a pan and add cumin seeds. Let them crackle. Add chopped onions and sauté until golden brown. Add ginger-garlic paste and green chilies. Sauté for a minute. Add chopped tomatoes and cook until they turn mushy. Now add turmeric powder, red chili powder, and garam masala. Mix well. Add chopped spinach and cook until wilted. Add sliced mushrooms and salt. Mix well. Cover and cook for 8-10 minutes or until mushrooms are cooked and the gravy thickens. Garnish with fresh coriander leaves. Serve hot with roti or rice.",192
Paneer Curry ,https://www.shutterstock.com/image-photo/matar-paneer-curry-recipe-made-260nw-1250565787.jpg,"Paneer curry is a flavorful vegetarian dish made with cubes of paneer (Indian cottage cheese) in a rich andromatic sauce. The base typically involves fragrant spices like cumin, coriander, and garam masala simmered with onions, tomatoes, and sometimes cashews or cream to create a smooth and creamy texture. The paneer is pan-fried or baked for a delightful textural contrast.",Indian,Main Course,250 & 4,Veg,15 minutes,20 minutes,"250g paneer, cubed , 2 onions, finely chopped , 2 tomatoes, pureed , 2 green chilies, chopped , 1 tablespoon ginger-garlic paste , 1 teaspoon cumin seeds , 1 teaspoon turmeric powder , 1 teaspoon coriander powder , 1/2 teaspoon garam masala , 1/2 teaspoon red chili powder (adjust to taste) , Salt to taste , 2 tablespoons oil , Fresh cilantro leaves for garnish","Heat oil in a pan and add cumin seeds. Let them splutter. Add chopped onions and sauté until golden brown. Add ginger-garlic paste and green chilies. Sauté for 2 minutes. Add tomato puree and cook until oil separates. Add turmeric powder, coriander powder, red chili powder, and salt. Mix well. Add cubed paneer and mix gently to coat with the masala. Cover and cook for 5-7 minutes on low heat, stirring occasionally. Sprinkle garam masala and garnish with chopped cilantro leaves. Serve hot with rice or naan.",193
Kachori,https://www.shutterstock.com/image-photo/indian-traditional-chats-kachori-recipe-260nw-1508649266.jpg,"Kachori is a crispy, deep-fried Indian pastry filled with a savory lentil mixture. The spiced filling, often made with moong dal (lentils), explodes with flavor when paired with the flaky, golden crust.",Indian,Snack,150 & 8,Veg,30 minutes,20 minutes,"2 cups all-purpose flour , 1/4 cup semolina (optional, for extra crispiness) , 1/4 cup ghee or oil , 1/2 teaspoon salt , Water (for kneading dough) , 1 cup yellow split peas (soaked overnight) , 1 tablespoon ginger-garlic paste , 2 green chilies, finely chopped , 1 teaspoon cumin seeds , 1 teaspoon coriander powder , 1/2 teaspoon turmeric powder , 1/2 teaspoon red chili powder , Salt to taste , Oil for deep frying","In a mixing bowl, combine the all-purpose flour, semolina (if using), ghee or oil, and salt. Gradually add water and knead to form a smooth dough. Cover and let it rest for 15-20 minutes. Meanwhile, prepare the filling. Drain the soaked yellow split peas and blend them into a coarse paste without adding water. Heat oil in a pan, add cumin seeds, and let them splutter. Add ginger-garlic paste and green chilies. Saute until fragrant. Add the split pea paste to the pan and cook for 5-7 minutes. Then add coriander powder, turmeric powder, red chili powder, and salt. Cook until the mixture thickens and the raw smell disappears. Remove from heat and let it cool. Divide the dough into equal-sized balls. Roll out each ball into a small circle, about 3-4 inches in diameter. Place a spoonful of the prepared filling in the center of each dough circle. Gather the edges of the dough to cover the filling completely and shape it into a ball. Flatten the filled dough balls slightly using your palms. Heat oil in a deep frying pan over medium heat. Once the oil is hot, gently slide in the prepared kachoris and fry until golden brown and crispy on both sides. Remove the fried kachoris using a slotted spoon and drain excess oil on paper towels. Serve hot with chutney or sauce of your choice.",194
Karela Fry,https://www.shutterstock.com/image-photo/cooked-bitter-melongourd-karela-sabzi-260nw-1264583032.jpg,Karela Fry is a crispy and flavorful Indian dish featuring bitter melon (karela) sauteed with aromatic spices.,Indian,Main Course,100 & 4,Veg,15 minutes,20 minutes,"4 medium-sized bitter gourds (karela) , 2 tablespoons vegetable oil , 1 teaspoon mustard seeds , 1 teaspoon cumin seeds , 1 teaspoon turmeric powder , 1 teaspoon coriander powder , 1 teaspoon red chili powder (adjust to taste) , 1 teaspoon amchur (dry mango powder) , Salt to taste , Fresh coriander leaves for garnish (optional)","Wash the bitter gourds thoroughly and slice them into thin rounds. Remove the seeds if desired. Heat oil in a pan over medium heat. Add mustard seeds and cumin seeds and let them splutter. Add the sliced bitter gourd to the pan and sauté for 5-7 minutes until they start to soften. Sprinkle turmeric powder, coriander powder, red chili powder, and amchur over the bitter gourd slices. Mix well to coat evenly. Continue to cook the bitter gourd slices for another 10-12 minutes, stirring occasionally, until they turn crispy and golden brown. Once cooked, remove from heat and transfer to a serving dish. Garnish with fresh coriander leaves if desired. Serve hot with roti or rice as a main dish.",195
Aam Ka Murabba,https://www.shutterstock.com/image-photo/aam-ka-murabba-methamba-known-260nw-641289094.jpg,"Aam Ka Murabba is a sweet and tangy Indian preserve made with unripe mangoes. The mangoes are cooked in a sugar syrup infused with aromatic spices like cardamom and saffron, transforming them into a delicious treat.",Indian,Condiment,150 & 6,Veg,20 minutes,40 minutes,"1 kg raw mangoes, peeled and diced , 750 grams sugar , 1 tablespoon lemon juice , 1 teaspoon saffron strands , 1 teaspoon cardamom powder , 1/2 teaspoon cloves , 1/2 teaspoon cinnamon powder , 1 cup water","In a large pot, combine diced mangoes, sugar, lemon juice, saffron strands, cardamom powder, cloves, cinnamon powder, and water. Stir well to mix all the ingredients together. Place the pot over medium heat and bring the mixture to a boil. Once it starts boiling, reduce the heat to low and let it simmer for about 30-40 minutes or until the mangoes are tender and the syrup thickens. Stir occasionally to prevent sticking and burning. Once the murabba reaches the desired consistency and the mangoes are soft, remove the pot from the heat and let it cool completely. Transfer the cooled murabba into sterilized glass jars and store them in a cool, dry place. Serve the Aam Ka Murabba as a sweet and tangy accompaniment to your meals or as a delicious dessert.",196
Paneer Pulao ,https://www.shutterstock.com/image-photo/paneer-pulao-fragrant-delicious-mildly-260nw-2082103693.jpg,"Paneer Pulao is a flavorful Indian rice dish featuring fluffy basmati rice cooked with savory spices, tender vegetables (often peas), and golden fried cubes of paneer (Indian cottage cheese) for a delightful textural contrast.",Indian,Main Course,350 & 4,Veg,15 minutes,25 minutes,"1 cup Basmati rice, washed and soaked for 30 minutes , 200g paneer (Indian cottage cheese), cubed , 1 onion, thinly sliced , 1 tomato, chopped , 1 green chili, slit lengthwise (adjust to taste) , 2 cloves garlic, minced , 1-inch piece ginger, grated , 1/2 cup green peas (fresh or frozen) , 1/2 cup carrots, diced , 1/2 cup green beans, chopped , 2 tablespoons ghee or oil , 1 teaspoon cumin seeds , 2 bay leaves , 4-5 whole peppercorns , 2 green cardamom pods , 2 cloves , 1-inch cinnamon stick , 1/2 teaspoon turmeric powder , 1 teaspoon garam masala , Salt to taste , 2 cups water","Heat ghee or oil in a pan and add cumin seeds, bay leaves, whole peppercorns, green cardamom pods, cloves, and cinnamon stick. Saute for a minute until fragrant. Add sliced onions and sauté until they turn golden brown. Add minced garlic, grated ginger, and slit green chili. Saute for another minute. Add chopped tomatoes and cook until they turn mushy. Now, add diced carrots, chopped green beans, and green peas. Mix well and cook for 2-3 minutes. Drain the soaked rice and add it to the pan. Stir gently to combine with the vegetables. Add turmeric powder, garam masala, and salt to taste. Mix well. Pour 2 cups of water into the pan and bring it to a boil. Once the water starts boiling, reduce the heat to low, cover the pan, and let it simmer for about 15 minutes or until the rice is cooked and the water is absorbed. While the rice is cooking, shallow fry the paneer cubes until they turn golden brown from all sides. Once the rice is cooked, gently fluff it with a fork and add the fried paneer cubes on top. Cover the pan and let it sit for a few minutes before serving. Garnish with chopped coriander leaves, if desired. Serve hot with raita or any side dish of your choice.",197
Kathi Roll,https://www.shutterstock.com/image-photo/indian-veg-chapati-wrap-kathi-260nw-1147885403.jpg,"Kathi roll is a flavorful Indian street food that combines spiced fillings with a flaky flatbread. Imagine tender, marinated meat or veggies grilled to perfection, wrapped up with creamy chutney, crunchy onions, and a squeeze of lime, all tucked inside a buttery paratha.",Indian,Main Course,300 & 4,Veg,15 minutes,20 minutes,"4 large tortillas or paratha bread , 250 grams boneless chicken (or paneer for vegetarian option), thinly sliced , 1 onion, thinly sliced , 1 capsicum (bell pepper), thinly sliced , 2 tablespoons oil , 1 teaspoon ginger-garlic paste , 1 teaspoon cumin powder , 1 teaspoon coriander powder , 1/2 teaspoon turmeric powder , 1/2 teaspoon garam masala , Salt to taste , Fresh coriander leaves, chopped (for garnish) , Mint chutney and/or tamarind chutney (optional)","Heat oil in a pan over medium heat. Add the ginger-garlic paste and sauté for a minute. Add the sliced onions and cook until they turn translucent. Add the sliced chicken (or paneer) to the pan. Cook until it's cooked through and lightly browned. Add the sliced capsicum and cook for another 2-3 minutes until it's slightly tender. Sprinkle cumin powder, coriander powder, turmeric powder, garam masala, and salt. Mix well to coat the chicken and veggies evenly with the spices. Cook for another 2-3 minutes. Warm the tortillas or paratha bread in a separate pan or microwave. Place a portion of the cooked chicken (or paneer) and vegetable mixture in the center of each tortilla or paratha. Drizzle some mint chutney and/or tamarind chutney on top (optional). Roll the tortillas tightly, tucking in the sides as you go. Serve hot, garnished with fresh coriander leaves.",198
Masala Khichdi,https://www.shutterstock.com/image-photo/mix-vegetable-masala-khichdi-khichuri-600nw-1751130722.jpg,"Masala Khichdi is a flavorful Indian comfort food made with rice, lentils, and a warm mix of spices. It's a hearty dish often cooked with vegetables for added texture and nutrients.",Indian,Main Course,300 & 4,Veg,15 minutes,20 minutes,"1 cup rice , 1/2 cup split yellow lentils (moong dal) , 1 onion, finely chopped , 1 tomato, finely chopped , 1 carrot, diced , 1 potato, diced , 1/2 cup green peas , 2 green chilies, finely chopped , 1-inch piece of ginger, grated , 2 cloves garlic, minced , 1 teaspoon cumin seeds , 1 teaspoon mustard seeds , 1/2 teaspoon turmeric powder , 1 teaspoon coriander powder , 1/2 teaspoon garam masala , Salt to taste , 2 tablespoons ghee (clarified butter) , 4 cups water , Fresh cilantro leaves for garnish","Rinse the rice and lentils together until the water runs clear. Soak them in water for about 15-20 minutes. Drain and set aside. Heat ghee in a pressure cooker over medium heat. Add cumin seeds and mustard seeds. Let them splutter. Add chopped onions, green chilies, ginger, and garlic. Saute until onions turn golden brown. Add chopped tomatoes and cook until they turn mushy. Add diced carrots, potatoes, and green peas. Saute for a few minutes. Add turmeric powder, coriander powder, garam masala, and salt. Mix well. Add drained rice and lentils to the pressure cooker. Stir to combine with the masala mixture. Pour water into the pressure cooker and close the lid. Cook on high heat until one whistle, then reduce the heat to low and cook for another 10-12 minutes. Turn off the heat and let the pressure release naturally. Once the pressure is released, open the lid and give the khichdi a gentle stir. Serve hot garnished with fresh cilantro leaves.",199
